,Year,Structure Number,Avg Daily Traffic,Age,Deck Area,Structure Type,Max Span Length,Deck Width,Deck Rating,Str Evl Apr,Operating Rating (Tons),District,108C - Deck Protection Code,Wrng Surf Type Code,Maximum Temperature,Minimum Temperature,Number of Freeze-Thaw Cycles,Time of Wetness,Prevailing Wind Direction,Mean Wind Speed,Number of Days with Measurable Precipitation,Maintenance Count,Previous Record 1,Previous Record 2
4785,1990,3100294,6700,5,12091,1,122,36,9,9,59,8,1,2,36,-13,104,4200,140,0,137,0,9,9
5533,1991,3100294,3355,6,12091,1,122,36,7,7,59,8,1,2,36,-16,101,3661,140,0,139,0,9,9
6065,1992,3100294,3355,7,12091,1,122,36,7,8,59,8,1,2,31,-17,102,3885,150,0,137,0,7,9
7490,1993,3100294,3355,8,12091,1,122,36,7,8,44,8,1,2,36,-16,102,3597,146,0,142,0,7,7
8129,1994,3100294,3355,9,12091,1,122,36,7,7,44,8,1,2,34,-27,94,3349,148,0,123,0,7,7
8521,1995,3100294,3355,10,12091,1,122,36,7,7,44,8,1,2,36,-19,90,3132,148,0,127,0,7,7
9261,1996,3100294,2705,11,12091,1,122,36,7,7,44,8,1,2,33,-20,97,3873,146,0,135,0,7,7
10479,1997,3100294,2705,12,12091,1,122,36,7,7,44,8,1,2,35,-19,105,3546,145,0,119,0,7,7
11086,1998,3100294,2705,13,12091,1,122,36,7,7,44,8,1,2,35,-12,81,3669,149,0,118,0,7,7
11976,1999,3100294,2705,14,12091,1,122,36,7,7,44,8,1,2,38,-23,90,2588,151,0,95,0,7,7
12754,2000,3100294,2705,15,12091,1,122,36,7,7,44,8,1,2,33,-16,84,3222,139,0,109,0,7,7
13093,2001,3100294,2705,16,12091,1,122,36,7,7,44,8,1,2,35,-12,90,3337,134,0,119,0,7,7
13539,2002,3100294,2705,17,12091,1,122,36,7,8,44,8,1,2,38,-11,98,3609,140,0,133,0,7,7
14351,2003,3100294,2705,18,12091,1,122,36,7,8,44,8,1,2,34,-15,87,3823,147,0,148,0,7,7
15543,2004,3100294,2705,19,12091,1,122,36,7,8,44,8,1,2,33,-24,79,3961,144,0,156,0,7,7
16403,2005,3100294,2705,20,12091,1,122,36,7,8,44,8,1,2,38,-14,94,3472,156,0,139,0,7,7
17388,2006,3100294,2705,21,12091,1,122,36,7,8,44,8,1,2,37,-13,100,3950,144,0,132,0,7,7
18130,2007,3100294,2705,22,12091,1,122,36,7,7,44,8,1,2,38,-23,90,2953,145,0,120,0,7,7
18564,2008,3100294,2705,23,12091,1,122,36,6,7,44,8,1,2,37,-15,101,3283,144,0,125,0,7,7
19350,2009,3100294,2705,24,12091,1,122,36,6,7,44,8,1,2,33,-21,86,3853,152,0,140,0,6,7
20409,2010,3100294,2705,25,12091,1,122,36,6,7,44,8,1,2,37,-14,65,2879,142,0,111,0,6,6
20627,2011,3100294,2705,26,12091,1,122,36,6,7,44,8,1,2,38,-17,86,4201,135,0,150,0,6,6
21480,2012,3100294,2705,27,12091,1,122,36,6,7,44,8,1,2,41,-11,95,3234,145,0,122,0,6,6
22238,2013,3100294,2705,28,12091,1,122,36,7,7,44,8,1,2,35,-16,107,3462,138,0,143,1,6,6
23322,2014,3100294,2705,29,12091,1,122,36,7,7,44,8,1,2,35,-23,94,3215,140,0,142,1,7,6
23702,2015,3100294,2705,30,12091,1,122,36,7,7,107,8,1,2,35,-20,72,3707,145,0,139,1,7,7
24565,2016,3100294,2705,31,12091,1,122,36,7,7,44,8,1,2,37,-15,83,3460,143,0,141,1,7,7
25494,2017,3100294,4788,32,12091,1,122,36,7,7,44,8,1,2,34,-14,80,3741,139,0,133,1,7,7
26218,2018,3100294,4788,33,12091,1,122,36,7,7,44,8,1,2,35,-19,106,4242,146,0,158,1,7,7
26806,2019,3100294,4788,34,12091,1,122,36,7,7,44,8,1,2,37,-20,96,3857,139,0,146,1,7,7
27595,2020,3100294,4788,35,12091,1,122,36,7,7,44,8,1,2,36,-11,96,3905,145,0,154,1,7,7
28976,2021,3100294,4788,36,12091,1,122,36,7,7,46,8,1,1,36,-16,92,3764,139,0,145,1,7,7
9262,1996,3100456,19500,38,17201,1,60,74,6,6,44,8,0,2,33,-20,97,3873,146,0,135,0,6,6
10480,1997,3100456,19500,39,17201,1,60,74,6,6,44,8,0,2,35,-19,105,3546,145,0,119,0,6,6
11087,1998,3100456,19500,40,17201,1,60,74,6,6,44,8,0,2,35,-12,81,3669,149,0,118,0,6,6
11868,1999,3100456,19500,41,17201,1,60,74,6,6,44,8,0,2,38,-23,90,2588,151,0,95,0,6,6
12724,2000,3100456,19500,42,17201,1,60,74,5,6,44,8,0,2,33,-16,84,3222,139,0,109,0,6,6
13094,2001,3100456,19500,43,17201,1,60,74,5,6,44,8,0,2,35,-12,90,3337,134,0,119,0,5,6
13540,2002,3100456,19500,44,17201,1,60,74,5,6,44,8,0,2,38,-11,98,3609,140,0,133,0,5,5
15544,2004,3100464,23050,2,17603,1,145,121,8,8,44,8,1,2,33,-24,79,3961,144,0,156,0,8,8
16404,2005,3100464,20920,3,17603,1,145,121,8,8,44,8,1,2,38,-14,94,3472,156,0,139,0,8,8
17389,2006,3100464,20920,4,17603,1,145,121,8,8,44,8,1,2,37,-13,100,3950,144,0,132,0,8,8
18131,2007,3100464,24140,5,17603,1,145,121,7,8,44,8,1,2,38,-23,90,2953,145,0,120,0,8,8
18565,2008,3100464,24140,6,17603,1,145,121,7,8,44,8,1,2,37,-15,101,3283,144,0,125,0,7,8
19216,2009,3100464,24140,7,17603,1,145,121,7,8,44,8,1,2,33,-21,86,3853,152,0,140,0,7,7
20410,2010,3100464,24140,8,17603,1,145,121,6,8,44,8,1,2,37,-14,65,2879,142,0,111,0,7,7
20628,2011,3100464,24140,9,17603,1,145,121,6,8,44,8,1,2,38,-17,86,4201,135,0,150,0,6,7
21481,2012,3100464,28090,10,17603,1,145,121,7,8,44,8,1,2,41,-11,95,3234,145,0,122,1,6,6
22241,2013,3100464,28090,11,17603,1,145,121,7,8,44,8,1,2,35,-16,107,3462,138,0,143,1,7,6
23323,2014,3100464,28090,12,17603,1,145,121,7,8,44,8,1,2,35,-23,94,3215,140,0,142,1,7,7
23703,2015,3100464,28090,13,17603,1,145,121,7,8,107,8,1,2,35,-20,72,3707,145,0,139,1,7,7
24566,2016,3100464,28090,14,17603,1,145,121,7,8,44,8,1,2,37,-15,83,3460,143,0,141,1,7,7
25495,2017,3100464,25601,15,17603,1,145,121,7,8,44,8,1,2,34,-14,80,3741,139,0,133,1,7,7
26219,2018,3100464,25601,16,17603,1,145,121,7,8,44,8,1,2,35,-19,106,4242,146,0,158,1,7,7
26807,2019,3100464,25601,17,17603,1,145,121,7,8,44,8,1,2,37,-20,96,3857,139,0,146,1,7,7
27599,2020,3100464,25601,18,17603,1,145,121,7,8,44,8,1,2,36,-11,96,3905,145,0,154,1,7,7
28977,2021,3100464,25601,19,17603,1,145,121,7,8,46,8,1,1,36,-16,92,3764,139,0,145,1,7,7
8131,1994,3100529,21160,3,17506,1,91,62,9,8,44,8,1,2,34,-27,94,3349,148,0,123,0,9,9
8523,1995,3100529,21160,4,17506,1,91,62,7,7,44,8,1,2,36,-19,90,3132,148,0,127,0,9,9
9105,1996,3100529,20210,5,17506,1,91,62,7,7,44,8,1,2,33,-20,97,3873,146,0,135,0,7,9
10304,1997,3100529,20210,6,17526,1,91,62,7,7,44,8,1,2,35,-19,105,3546,145,0,119,0,7,7
11170,1998,3100529,20210,7,17526,1,91,62,7,8,44,8,1,2,35,-12,81,3669,149,0,118,0,7,7
11869,1999,3100529,20210,8,17526,1,91,62,7,8,44,8,1,2,38,-23,90,2588,151,0,95,0,7,7
12725,2000,3100529,20210,9,17526,1,91,62,7,7,44,8,1,2,33,-16,84,3222,139,0,109,0,7,7
13095,2001,3100529,20210,10,17526,1,91,62,7,7,44,8,1,2,35,-12,90,3337,134,0,119,0,7,7
13565,2002,3100529,20210,11,17526,1,91,62,8,8,44,8,1,2,38,-11,98,3609,140,0,133,1,7,7
14356,2003,3100529,20210,12,17526,1,91,62,8,8,44,8,1,2,34,-15,87,3823,147,0,148,1,8,7
15578,2004,3100529,20210,13,17526,1,91,62,7,7,44,8,1,2,33,-24,79,3961,144,0,156,1,8,8
16405,2005,3100529,20210,14,17526,1,91,62,7,7,44,8,1,2,38,-14,94,3472,156,0,139,1,7,8
17390,2006,3100529,20210,15,17526,1,91,62,7,7,44,8,1,2,37,-13,100,3950,144,0,132,1,7,7
18132,2007,3100529,20210,16,17526,1,91,62,7,7,44,8,1,2,38,-23,90,2953,145,0,120,1,7,7
18656,2008,3100529,15580,17,17506,1,91,62,7,7,44,8,1,2,37,-15,101,3283,144,0,125,1,7,7
19217,2009,3100529,15580,18,17506,1,91,62,7,7,44,8,1,2,33,-21,86,3853,152,0,140,1,7,7
20411,2010,3100529,15580,19,17506,1,91,62,7,7,44,8,1,2,37,-14,65,2879,142,0,111,1,7,7
20629,2011,3100529,15580,20,17506,1,91,62,7,7,44,8,1,2,38,-17,86,4201,135,0,150,1,7,7
21482,2012,3100529,16990,21,17506,1,91,62,7,7,44,8,1,2,41,-11,95,3234,145,0,122,1,7,7
22242,2013,3100529,16990,22,17506,1,91,62,7,7,44,8,1,2,35,-16,107,3462,138,0,143,1,7,7
23324,2014,3100529,16990,23,17506,1,91,62,7,7,44,8,1,2,35,-23,94,3215,140,0,142,1,7,7
23927,2015,3100529,16990,24,17506,1,91,62,7,7,107,8,1,2,35,-20,72,3707,145,0,139,1,7,7
24567,2016,3100529,16990,25,17506,1,91,62,7,7,44,8,1,2,37,-15,83,3460,143,0,141,1,7,7
25496,2017,3100529,17600,26,17506,1,91,62,7,7,44,8,1,2,34,-14,80,3741,139,0,133,1,7,7
26220,2018,3100529,17600,27,17506,1,91,62,7,7,44,8,1,2,35,-19,106,4242,146,0,158,1,7,7
26808,2019,3100529,17600,28,17506,1,91,62,7,7,44,8,1,2,37,-20,96,3857,139,0,146,1,7,7
27600,2020,3100529,17600,29,17506,1,91,62,7,7,44,8,1,2,36,-11,96,3905,145,0,154,1,7,7
28978,2021,3100529,17600,30,17506,1,91,62,7,7,46,8,1,1,36,-16,92,3764,139,0,145,1,7,7
9106,1996,3100669,20210,79,4961,1,44,56,7,6,44,8,0,6,33,-20,97,3873,146,0,135,0,7,7
10305,1997,3100669,20210,80,4961,1,44,56,7,6,44,8,0,6,35,-19,105,3546,145,0,119,0,7,7
11171,1998,3100669,20210,81,4961,1,44,56,7,5,44,8,0,6,35,-12,81,3669,149,0,118,0,7,7
11870,1999,3100669,20210,82,4961,1,44,56,7,6,44,8,0,6,38,-23,90,2588,151,0,95,0,7,7
12726,2000,3100669,20210,83,4961,1,44,56,7,6,44,8,0,6,33,-16,84,3222,139,0,109,0,7,7
13096,2001,3100669,20210,84,4961,1,44,56,7,6,44,8,0,6,35,-12,90,3337,134,0,119,0,7,7
13566,2002,3100669,20210,85,4961,1,44,56,8,6,44,8,0,6,38,-11,98,3609,140,0,133,1,7,7
14321,2003,3100669,20210,86,4961,1,44,56,8,6,44,8,0,6,34,-15,87,3823,147,0,148,1,8,7
15522,2004,3100669,20210,87,4961,1,44,56,7,6,44,8,0,6,33,-24,79,3961,144,0,156,1,8,8
16406,2005,3100669,21170,88,4961,1,44,56,7,6,44,8,0,6,38,-14,94,3472,156,0,139,1,7,8
17391,2006,3100669,21170,89,4961,1,44,56,7,6,44,8,0,6,37,-13,100,3950,144,0,132,1,7,7
18133,2007,3100669,15580,90,4961,1,44,56,6,6,44,8,0,6,38,-23,90,2953,145,0,120,1,7,7
18657,2008,3100669,15580,91,4961,1,44,56,7,6,44,8,0,6,37,-15,101,3283,144,0,125,2,6,7
19218,2009,3100669,15580,92,4961,1,44,56,6,6,44,8,0,6,33,-21,86,3853,152,0,140,2,7,6
20412,2010,3100669,15580,93,4961,1,44,56,6,6,44,8,0,6,37,-14,65,2879,142,0,111,2,6,7
20630,2011,3100669,15580,94,4961,1,44,56,7,6,44,8,0,6,38,-17,86,4201,135,0,150,3,6,6
21416,2012,3100669,16990,95,4961,1,44,56,7,6,44,8,0,6,41,-11,95,3234,145,0,122,3,7,6
22243,2013,3100669,16990,96,4961,1,44,56,7,6,44,8,0,6,35,-16,107,3462,138,0,143,3,7,7
23325,2014,3100669,16990,97,4961,1,44,56,7,6,44,8,0,6,35,-23,94,3215,140,0,142,3,7,7
23928,2015,3100669,16990,98,4961,1,44,56,7,6,107,8,0,6,35,-20,72,3707,145,0,139,3,7,7
24716,2016,3100669,16990,99,4961,1,44,56,7,6,44,8,0,6,37,-15,83,3460,143,0,141,3,7,7
25497,2017,3100669,18918,100,4961,1,44,56,7,6,44,8,0,6,34,-14,80,3741,139,0,133,3,7,7
4789,1990,3100766,7720,40,15097,1,92,29,8,8,59,8,1,2,36,-13,104,4200,140,0,137,0,8,8
5825,1991,3100766,2585,41,15097,1,92,29,7,7,59,8,1,2,36,-16,101,3661,140,0,139,0,8,8
6076,1992,3100766,2585,42,15097,1,92,29,7,7,59,8,1,2,31,-17,102,3885,150,0,137,0,7,8
7495,1993,3100766,2585,43,15097,1,92,29,7,7,44,8,1,2,36,-16,102,3597,146,0,142,0,7,7
7777,1994,3100766,2585,44,15097,1,92,29,7,7,44,8,1,2,34,-27,94,3349,148,0,123,0,7,7
8526,1995,3100766,2585,45,15097,1,92,29,7,7,44,8,1,2,36,-19,90,3132,148,0,127,0,7,7
9108,1996,3100766,2800,46,15097,1,92,29,7,7,44,8,1,2,33,-20,97,3873,146,0,135,0,7,7
10307,1997,3100766,2800,47,15097,1,93,29,7,7,44,8,1,2,35,-19,105,3546,145,0,119,0,7,7
11173,1998,3100766,2800,48,15097,1,93,29,7,7,44,8,1,2,35,-12,81,3669,149,0,118,0,7,7
11872,1999,3100766,2800,49,15097,1,92,29,7,7,44,8,1,2,38,-23,90,2588,151,0,95,0,7,7
12728,2000,3100766,2800,50,15097,1,92,29,7,7,44,8,1,2,33,-16,84,3222,139,0,109,0,7,7
12878,2001,3100766,2800,51,15097,1,92,29,7,7,44,8,1,2,35,-12,90,3337,134,0,119,0,7,7
14286,2002,3100766,2800,52,15097,1,92,29,7,7,44,8,1,2,38,-11,98,3609,140,0,133,0,7,7
14323,2003,3100766,2800,53,15097,1,92,29,7,7,44,8,1,2,34,-15,87,3823,147,0,148,0,7,7
15524,2004,3100766,2800,54,15097,1,92,29,7,7,44,8,1,2,33,-24,79,3961,144,0,156,0,7,7
16618,2005,3100766,2800,55,15097,1,92,29,7,7,44,8,1,2,38,-14,94,3472,156,0,139,0,7,7
17056,2006,3100766,2800,56,15097,1,92,29,7,7,44,8,1,2,37,-13,100,3950,144,0,132,0,7,7
18135,2007,3100766,2800,57,15097,1,92,29,7,6,44,8,1,2,38,-23,90,2953,145,0,120,0,7,7
18659,2008,3100766,3910,58,15097,1,92,29,6,6,44,8,1,2,37,-15,101,3283,144,0,125,0,7,7
19220,2009,3100766,3910,59,15097,1,92,29,6,6,44,8,1,2,33,-21,86,3853,152,0,140,0,6,7
20414,2010,3100766,3910,60,15097,1,92,29,6,6,44,8,1,2,37,-14,65,2879,142,0,111,0,6,6
20632,2011,3100766,3910,61,15097,1,92,29,6,6,44,8,1,2,38,-17,86,4201,135,0,150,0,6,6
21418,2012,3100766,4410,62,15097,1,92,29,6,6,44,8,1,2,41,-11,95,3234,145,0,122,0,6,6
22245,2013,3100766,4410,63,15097,1,92,29,6,6,44,8,1,2,35,-16,107,3462,138,0,143,0,6,6
22975,2014,3100766,4410,64,15097,1,92,29,6,5,44,8,1,2,35,-23,94,3215,140,0,142,0,6,6
23930,2015,3100766,4410,65,15097,1,92,29,6,5,107,8,1,2,35,-20,72,3707,145,0,139,0,6,6
24721,2016,3100766,4410,66,15097,1,92,29,6,5,44,8,1,2,37,-15,83,3460,143,0,141,0,6,6
25499,2017,3100766,4514,67,15097,1,92,29,6,5,44,8,1,2,34,-14,80,3741,139,0,133,0,6,6
26259,2018,3100766,4514,68,15097,1,92,29,6,5,44,8,1,2,35,-19,106,4242,146,0,158,0,6,6
26811,2019,3100766,4514,69,15097,1,92,29,6,5,44,8,1,2,37,-20,96,3857,139,0,146,0,6,6
27603,2020,3100766,4514,70,15097,1,92,29,6,5,44,8,1,2,36,-11,96,3905,145,0,154,0,6,6
28994,2021,3100766,4514,71,15097,1,92,29,6,4,50,8,1,1,36,-16,92,3764,139,0,145,0,6,6
5620,1991,3100790,1000,15,15733,1,117,28,7,7,59,8,0,6,36,-16,101,3661,140,0,139,0,7,7
6077,1992,3100790,1000,16,15733,1,117,28,7,7,59,8,0,6,31,-17,102,3885,150,0,137,0,7,7
7496,1993,3100790,1000,17,15733,1,117,28,7,7,44,8,0,6,36,-16,102,3597,146,0,142,0,7,7
8064,1994,3100790,1000,18,15733,1,117,28,7,6,44,8,0,6,34,-27,94,3349,148,0,123,0,7,7
8527,1995,3100790,1000,19,15733,1,117,28,5,6,44,8,0,6,36,-19,90,3132,148,0,127,0,7,7
9109,1996,3100790,1000,20,15733,1,117,28,5,6,44,8,0,6,33,-20,97,3873,146,0,135,0,5,7
10308,1997,3100790,1000,21,15733,1,117,28,6,6,44,8,0,6,35,-19,105,3546,145,0,119,1,5,5
11174,1998,3100790,1000,22,15733,1,117,28,6,6,44,8,0,6,35,-12,81,3669,149,0,118,1,6,5
11873,1999,3100790,1000,23,15733,1,117,28,7,6,44,8,0,6,38,-23,90,2588,151,0,95,2,6,6
12729,2000,3100790,1000,24,15733,1,117,28,6,6,44,8,0,6,33,-16,84,3222,139,0,109,2,7,6
12879,2001,3100790,1000,25,15733,1,117,28,7,7,44,8,0,6,35,-12,90,3337,134,0,119,3,6,7
14287,2002,3100790,1000,26,15733,1,117,28,7,8,44,8,0,9,38,-11,98,3609,140,0,133,3,7,6
14324,2003,3100790,1000,27,15733,1,117,28,8,8,44,8,0,9,34,-15,87,3823,147,0,148,4,7,7
15666,2004,3100790,1000,28,15733,1,117,28,7,8,44,8,0,9,33,-24,79,3961,144,0,156,4,8,7
16619,2005,3100790,1000,29,15733,1,117,28,7,8,44,8,0,9,38,-14,94,3472,156,0,139,4,7,8
17057,2006,3100790,1000,30,15733,1,117,28,7,8,44,8,0,9,37,-13,100,3950,144,0,132,4,7,7
18136,2007,3100790,1000,31,15733,1,117,28,6,6,44,8,0,9,38,-23,90,2953,145,0,120,4,7,7
18660,2008,3100790,1000,32,15733,1,117,28,6,7,44,8,0,9,37,-15,101,3283,144,0,125,4,6,7
19221,2009,3100790,1000,33,15733,1,117,28,6,7,44,8,0,9,33,-21,86,3853,152,0,140,4,6,6
20497,2010,3100790,1000,34,15733,1,117,28,6,6,44,8,0,9,37,-14,65,2879,142,0,111,4,6,6
20633,2011,3100790,1000,35,15733,1,117,28,6,7,44,8,0,9,38,-17,86,4201,135,0,150,4,6,6
21508,2012,3100790,1000,36,15733,1,117,28,6,7,44,8,0,9,41,-11,95,3234,145,0,122,4,6,6
22252,2013,3100790,1000,37,15733,1,117,28,6,7,44,8,0,9,35,-16,107,3462,138,0,143,4,6,6
22976,2014,3100790,1000,38,15733,1,117,28,6,7,44,8,0,9,35,-23,94,3215,140,0,142,4,6,6
23931,2015,3100790,1000,39,15733,1,117,28,6,7,107,8,0,9,35,-20,72,3707,145,0,139,4,6,6
24722,2016,3100790,1000,40,15733,1,117,28,6,8,44,8,0,9,37,-15,83,3460,143,0,141,4,6,6
25937,2017,3100790,1000,41,15733,1,117,28,7,8,44,8,0,9,34,-14,80,3741,139,0,133,5,6,6
9110,1996,3100812,12957,30,22916,1,149,80,5,5,44,8,0,2,33,-20,97,3873,146,0,135,0,5,5
10324,1997,3100812,6100,31,22916,1,149,80,5,5,44,8,0,3,35,-19,105,3546,145,0,119,0,5,5
11175,1998,3100812,6100,32,22916,1,149,80,7,7,44,8,0,3,35,-12,81,3669,149,0,118,1,5,5
11975,1999,3100812,6100,33,22916,1,149,80,7,6,44,8,0,3,38,-23,90,2588,151,0,95,1,7,5
12731,2000,3100812,6100,34,22916,1,149,80,7,6,44,8,0,3,33,-16,84,3222,139,0,109,1,7,7
12880,2001,3100812,6100,35,22916,1,149,80,7,6,44,8,0,3,35,-12,90,3337,134,0,119,1,7,7
14288,2002,3100812,6100,36,22916,1,149,80,7,6,44,8,0,3,38,-11,98,3609,140,0,133,1,7,7
14560,2003,3100812,6100,37,22916,1,149,80,7,7,44,8,0,3,34,-15,87,3823,147,0,148,1,7,7
15667,2004,3100812,6100,38,22916,1,149,80,7,7,44,8,0,3,33,-24,79,3961,144,0,156,1,7,7
16620,2005,3100812,6100,39,22916,1,149,80,7,6,44,8,0,3,38,-14,94,3472,156,0,139,1,7,7
17058,2006,3100812,12370,40,22916,1,149,80,7,7,44,8,0,3,37,-13,100,3950,144,0,132,1,7,7
18137,2007,3100812,10610,41,22916,1,149,80,7,6,44,8,0,3,38,-23,90,2953,145,0,120,1,7,7
18661,2008,3100812,10610,42,22916,1,149,80,6,6,44,8,0,3,37,-15,101,3283,144,0,125,1,7,7
19222,2009,3100812,10610,43,22916,1,149,80,6,6,44,8,0,3,33,-21,86,3853,152,0,140,1,6,7
20498,2010,3100812,10610,44,22916,1,149,80,6,6,44,8,0,3,37,-14,65,2879,142,0,111,1,6,6
20634,2011,3100812,10610,45,22916,1,149,80,7,6,44,8,0,3,38,-17,86,4201,135,0,150,2,6,6
21509,2012,3100812,9320,46,22916,1,149,80,7,6,44,8,0,3,41,-11,95,3234,145,0,122,2,7,6
22253,2013,3100812,9320,47,22916,1,149,80,7,6,44,8,0,3,35,-16,107,3462,138,0,143,2,7,7
22977,2014,3100812,9320,48,22916,1,149,80,7,6,44,8,0,3,35,-23,94,3215,140,0,142,2,7,7
23932,2015,3100812,9320,49,22916,1,149,80,7,6,44,8,0,3,35,-20,72,3707,145,0,139,2,7,7
24948,2016,3100812,9320,50,22916,1,149,80,7,6,44,8,0,3,37,-15,83,3460,143,0,141,2,7,7
25938,2017,3100812,5198,51,22916,1,149,80,7,6,44,8,0,3,34,-14,80,3741,139,0,133,2,7,7
9111,1996,3100839,13905,23,19534,1,121,85,5,6,44,8,0,2,33,-20,97,3873,146,0,135,0,5,5
10325,1997,3100839,16830,24,19534,1,121,85,5,6,44,8,0,2,35,-19,105,3546,145,0,119,0,5,5
11040,1998,3100839,16830,25,19534,1,121,85,5,6,44,8,0,9,35,-12,81,3669,149,0,118,0,5,5
11889,1999,3100839,16830,26,19534,1,121,85,7,7,44,8,0,9,38,-23,90,2588,151,0,95,1,5,5
12732,2000,3100839,16830,27,19534,1,121,85,7,7,44,8,0,9,33,-16,84,3222,139,0,109,1,7,5
12881,2001,3100839,16830,28,19534,1,121,85,7,7,44,8,0,9,35,-12,90,3337,134,0,119,1,7,7
14289,2002,3100839,16830,29,19534,1,121,85,7,7,44,8,0,9,38,-11,98,3609,140,0,133,1,7,7
14812,2003,3100839,16830,30,19534,1,121,85,7,7,44,8,0,9,34,-15,87,3823,147,0,148,1,7,7
15668,2004,3100839,16830,31,19534,1,121,85,7,7,44,8,0,9,33,-24,79,3961,144,0,156,1,7,7
16621,2005,3100839,16830,32,19534,1,121,85,7,7,44,8,0,9,38,-14,94,3472,156,0,139,1,7,7
17059,2006,3100839,16830,33,19534,1,121,85,7,7,44,8,0,9,37,-13,100,3950,144,0,132,1,7,7
18138,2007,3100839,16830,34,19534,1,121,85,7,7,44,8,0,9,38,-23,90,2953,145,0,120,1,7,7
18662,2008,3100839,13860,35,19534,1,121,85,6,7,44,8,0,9,37,-15,101,3283,144,0,125,1,7,7
19223,2009,3100839,13860,36,19534,1,121,85,6,7,44,8,0,9,33,-21,86,3853,152,0,140,1,6,7
20499,2010,3100839,13860,37,19534,1,121,85,6,7,44,8,0,9,37,-14,65,2879,142,0,111,1,6,6
20691,2011,3100839,13860,38,19534,1,121,85,6,7,44,8,0,9,38,-17,86,4201,135,0,150,1,6,6
21515,2012,3100839,16670,39,19534,1,121,85,6,7,44,8,0,9,41,-11,95,3234,145,0,122,1,6,6
22254,2013,3100839,16670,40,19534,1,121,85,6,7,44,8,0,9,35,-16,107,3462,138,0,143,1,6,6
22978,2014,3100839,16670,41,19534,1,121,85,6,7,44,8,0,9,35,-23,94,3215,140,0,142,1,6,6
23933,2015,3100839,16670,42,19534,1,121,85,6,7,44,8,0,9,35,-20,72,3707,145,0,139,1,6,6
24949,2016,3100839,16670,43,19534,1,121,85,6,7,44,8,0,9,37,-15,83,3460,143,0,141,1,6,6
25939,2017,3100839,11598,44,19534,1,121,85,6,7,44,8,0,9,34,-14,80,3741,139,0,133,1,6,6
9112,1996,3100855,13259,24,8935,1,57,84,7,7,44,8,0,2,33,-20,97,3873,146,0,135,0,7,7
10326,1997,3100855,12961,25,8935,1,57,84,7,7,44,8,0,2,35,-19,105,3546,145,0,119,0,7,7
11041,1998,3100855,12961,26,8935,1,57,84,7,7,44,8,0,2,35,-12,81,3669,149,0,118,0,7,7
11890,1999,3100855,12961,27,8935,1,57,84,7,7,44,8,0,2,38,-23,90,2588,151,0,95,0,7,7
12733,2000,3100855,12961,28,8935,1,57,84,7,7,44,8,0,9,33,-16,84,3222,139,0,109,0,7,7
12882,2001,3100855,12961,29,8935,1,57,84,7,7,44,8,0,9,35,-12,90,3337,134,0,119,0,7,7
14290,2002,3100855,12961,30,8935,1,57,84,7,7,44,8,0,9,38,-11,98,3609,140,0,133,0,7,7
14884,2003,3100855,12961,31,8935,1,57,84,7,7,44,8,0,9,34,-15,87,3823,147,0,148,0,7,7
15669,2004,3100855,12961,32,8935,1,57,84,7,7,44,8,0,9,33,-24,79,3961,144,0,156,0,7,7
16622,2005,3100855,12961,33,8935,1,57,84,7,7,44,8,0,9,38,-14,94,3472,156,0,139,0,7,7
17060,2006,3100855,12961,34,8935,1,57,84,6,7,44,8,0,9,37,-13,100,3950,144,0,132,0,7,7
18139,2007,3100855,12961,35,8935,1,57,84,6,6,44,8,0,9,38,-23,90,2953,145,0,120,0,6,7
18667,2008,3100855,20540,36,8935,1,57,84,6,6,44,8,0,9,37,-15,101,3283,144,0,125,0,6,6
19390,2009,3100855,20540,37,8935,1,57,84,6,6,44,8,0,9,33,-21,86,3853,152,0,140,0,6,6
19939,2010,3100855,20540,38,8935,1,57,84,6,6,44,8,0,9,37,-14,65,2879,142,0,111,0,6,6
20692,2011,3100855,20540,39,8935,1,57,84,6,6,44,8,0,9,38,-17,86,4201,135,0,150,0,6,6
21516,2012,3100855,26380,40,8935,1,57,84,6,6,44,8,0,9,41,-11,95,3234,145,0,122,0,6,6
22255,2013,3100855,26380,41,8935,1,57,84,6,6,44,8,0,9,35,-16,107,3462,138,0,143,0,6,6
22979,2014,3100855,26380,42,8935,1,57,84,6,6,44,8,0,9,35,-23,94,3215,140,0,142,0,6,6
23934,2015,3100855,26380,43,8935,1,57,84,6,6,107,8,0,9,35,-20,72,3707,145,0,139,0,6,6
24950,2016,3100855,26380,44,8935,1,57,84,6,6,44,8,0,9,37,-15,83,3460,143,0,141,0,6,6
25504,2017,3100855,16544,45,8935,1,57,84,7,7,44,8,0,9,34,-14,80,3741,139,0,133,1,6,6
6081,1992,3100863,23750,2,8603,1,53,84,9,8,59,8,0,6,31,-17,102,3885,150,0,137,0,9,9
7255,1993,3100863,23750,3,8603,1,53,84,9,8,44,8,0,6,36,-16,102,3597,146,0,142,0,9,9
8069,1994,3100863,23750,4,8603,1,53,84,9,8,44,8,0,6,34,-27,94,3349,148,0,123,0,9,9
8531,1995,3100863,23750,5,8603,1,53,84,7,8,44,8,0,6,36,-19,90,3132,148,0,127,0,9,9
9113,1996,3100863,13259,6,8603,1,53,84,7,8,44,8,0,6,33,-20,97,3873,146,0,135,0,7,9
